"name","price","image__001","image__002","image__003","image__004","image__005","image__006","description","description_detail__001","description_detail__002"
"","","","","","","","","","CPU"," Intel Core i5-1135G7 ( 2.4 GHz - 4.2 GHz / 8MB / 4 nhân, 8 luồng )"
"","","","","","","","","","Chip đồ họa"," Onboard  Intel Iris Xe Graphics "
"","","","","","","","","","RAM"," 1 x 8GB Onboard  DDR4  2666MHz  Không nâng cấp được )"
"","","","","","","","","","Màn hình"," 14"" ( 1920 x 1080 ) Full HD  IPS  không cảm ứng , HD webcam "
"","","","","","","","","","Lưu trữ"," 512GB SSD M.2 NVMe /"
"","","","","","","","","","Số cổng lưu trữ tối đa"," 1 x M.2 NVMe "
"","","","","","","","","","Kiểu khe M.2 hỗ trợ"," M.2 NVMe "
"","","","","","","","","","Cổng xuất hình"," 1 x HDMI "
"","","","","","","","","","Cổng kết nối",", 1 x USB 3.2 , 2 x USB 2.0 , 1 x Thunderbolt 4 , 1 x micro SD card slot , 1 x 3.5 mm "
"","","","","","","","","","Kết nối không dây"," WiFi 802.11ax (Wifi 6) , Bluetooth 5.0 "
"","","","","","","","","","Bàn phím"," thường , không phím số , LED "
"","","","","","","","","","Hệ điều hành"," Windows 11 Home "
"","","","","","","","","","Kích thước"," 32.40 x 21.30 x 1.59 cm "
"","","","","","","","","","Pin"," 3 cell  50 Wh , Pin liền "
"","","","","","","","","","Khối lượng"," 1.4 kg"
"","","","","","","","","","Đèn LED trên máy"," không đèn "
"","","","","","","","","","Phụ kiện đi kèm"," Adapter "
"Laptop ACER Nitro 5 AN515-58-52SP NH.QFHSV.001 (15.6"" Full HD/ 144Hz/Intel Core i5-12500H/8GB/512GB SSD/RTX 3050/Windows 11 Home/2.5kg)","25.990.000₫","https://lh3.googleusercontent.com/CYSfdYN-XDOrBSR9BHkeqUcO2kKBBgct5QTTdvOPiWegjw7t38q9dkIfqTh8FQaaGuZwig_0UMpJddSwkGK-e51e5C_Bu-iu=rw","https://lh3.googleusercontent.com/tTLvEbGDX7ydz-n-n85yj1OiNHiLBvlJZZ5ftJUUKDKDAs5nTiuOqJEgmHDkZCQ9odEr0qyCwBfzAybEBWDQE4YVR0b3r7OQUQ=rw","https://lh3.googleusercontent.com/vxtMlqkOdaViU7F5FEcRmYb0emyP-z8cxOyfsqqOWi6ZCb_yK03CcSWT5KovzLnWf9MNKrAgu-ObJjB64YccVU3MUDtB0xs=rw","https://lh3.googleusercontent.com/S6VcHbANR1Qh7WsbW3nj6zfCbuUWOj_NOl9NadgnxTi3vjd_byv2tup5u4n5MI1d3e0BpYJyLYYyiAQyk35xFuP2xGMrWgLjgw=rw","https://lh3.googleusercontent.com/7jBgNEEyzeD7BleG4UN394AAeyxImuEcGE9RQP9QlDeGmx6P6xqX0kRqfwMSmoPSp3S-M1qWMdG6AtQCKXc9I2IyH31_2Yrv=rw","https://lh3.googleusercontent.com/lbHY_zKAtcjGbgcS49uBK6pKBdFFmGPNfw4m78bAsJ938tfH7ptu_BDYH9e5tft3iDBwUrVDPbosk420mEyQcd5w3vfPcXec=rw","- CPU: Intel Core i5-12500H\n- Màn hình: 15.6"" IPS (1920 x 1080),144Hz\n- RAM: 1 x 8GB DDR4 3200MHz\n- Đồ họa: RTX 3050 4GB GDDR6 / Intel Iris Xe Graphics\n- Lưu trữ: 512GB SSD M.2 NVMe /\n- Hệ điều hành: Windows 11 Home\n- Pin: 4 cell 57 Wh\n- Khối lượng: 2.5kg","Thương hiệu","ACER"
"","","","","","","","","","Bảo hành","12"
"","","","","","","","","","Series laptop","Nitro 5"
"","","","","","","","","","Part-number","NH.QFHSV.001"
"","","","","","","","","","Màu sắc","Đen"
"","","","","","","","","","Nhu cầu","Gaming, Đồ họa - Kỹ thuật"
"","","","","","","","","","Thế hệ CPU"," Core i5 , Intel Core thế hệ thứ 12 "
"","","","","","","","","","CPU"," Intel Core i5-12500H ( 2.5 GHz - 4.5 GHz / 18MB / 12 nhân, 16 luồng )"
"","","","","","","","","","Chip đồ họa"," RTX 3050  4GB  GDDR6 / Intel Iris Xe Graphics "
"","","","","","","","","","RAM"," 1 x 8GB  DDR4  3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB )"
"","","","","","","","","","Màn hình"," 15.6"" ( 1920 x 1080 ) Full HD  IPS  144Hz , không cảm ứng , HD webcam "
"","","","","","","","","","Lưu trữ"," 512GB SSD M.2 NVMe /"
"","","","","","","","","","Số cổng lưu trữ tối đa"," 1 x 2.5"" SATA , 2 x M.2 NVMe "
"","","","","","","","","","Kiểu khe M.2 hỗ trợ"," M.2 NVMe "
"","","","","","","","","","Cổng xuất hình"," 1 x HDMI "
"","","","","","","","","","Cổng kết nối",", 3 x USB 3.2 , 1 x Thunderbolt 4 , Audio combo , LAN 1 Gb/s "
"","","","","","","","","","Kết nối không dây"," WiFi 802.11ax (Wifi 6) , Bluetooth 5.1 "
"","","","","","","","","","Bàn phím"," thường , có phím số , RGB "
"","","","","","","","","","Hệ điều hành"," Windows 11 Home "
"","","","","","","","","","Kích thước"," 36.04 x 27.109 x 2.59 cm "
"","","","","","","","","","Pin"," 4 cell  57 Wh "
"","","","","","","","","","Khối lượng"," 2.5 kg"
"","","","","","","","","","Đèn LED trên máy"," không đèn "
